rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_meristem,matSP_stipe,matSP_vegfrond,matSP_frond_sorus,matSP_sporophyll_sorus
1,nbis-gene-17609,0,0,0.1178505,0.159945,0.423552,0,6.116483,12.018448
8,nbis-gene-1761,11.7268025,0,7.527008,46.394856,103.307938,20.548647,119.800535,141.001219
1,nbis-gene-17610,112.129543,0,1.846539,4.750424,24.340724,0,22.542851,24.889581
1,nbis-gene-17611,2.9062025,5.076092,10.0472155,3.829424,2.795096,2.813298,14.107513,19.305557
1,nbis-gene-17612,0.4567175,0,0,0,0,0,1.915544,0.539291
1,nbis-gene-17613,9.038209,0,1.0360795,4.062165,2.291324,3.220104,46.160729,40.324983
1,nbis-gene-17614,4213.9400975,297.972087,753.920463,417.433232,443.152738,794.860091,239.019656,210.650544
7,nbis-gene-17616,1.6753655,9.331548,1.2046575,0.358409,0.888392,1.006252,3.905492,3.356103
1,nbis-gene-17618,250.466219,0,103.092812,198.598854,276.481748,310.000155,241.089182,253.373271
7,nbis-gene-1762,19.079166,13.899942,4.3489845,9.173224,2.317559,4.631115,3.505226,5.720662
2,nbis-gene-17621,1.7337325000000001,1.371989,0.550635,1.634251,0.941522,1.990161,10.116475,9.441399
1,nbis-gene-17623,40.130744,0,0,4.117696,3.043851,4.488608,4.86387,2.260211
1,nbis-gene-17624,7.696344,2.294217,19.796378,35.880095,29.028063,30.482894,33.435202,31.84152
2,nbis-gene-17625,4.79129,0,31.409321499999997,106.091121,108.756435,93.803512,178.924199,172.855653
6,nbis-gene-17626,3.170112,0,7.2121355,33.649172,32.914177,17.088642,42.761403,48.808419
1,nbis-gene-17627,5.2606095,0.295136,0.514294,15.7659,9.207027,10.775641,52.564913,29.200633
7,nbis-gene-1763,7.276885999999999,0,40.186578999999995,163.466458,140.11171,32.989797,78.483242,92.305479
2,nbis-gene-17637,0.164727,0,0.0522155,0.287592,0.158645,0.314759,37.579803,39.059286
7,nbis-gene-17638,0.338469,0,0.059665,0.651434,0.090444,0.224702,55.078825,50.16324
2,nbis-gene-17639,1.6933814999999999,0,1.881979,4.947002,4.910435,4.097901,8.282781,10.16072
8,nbis-gene-1764,20.069084,0,0,0,0,0,0,0
