PS,GeneID,S1,S2,S3,S4,S4.5,S5,gamete_female,gamete_male,holdfast,reptip,stipe,vegtip
1,dis_TRINITY_DN10021_c0_g3,160.852063,175.948803,205.8140645,93.490815,104.0598725,92.665191,200.588201,68.920286,81.852742,141.300986,54.127783,106.55099
7,dis_TRINITY_DN10021_c0_g5,51.5898,35.642446,88.16059050000001,156.720269,181.369928,139.031943,55.566261,7.532593,61.004326,52.048505,44.222765,40.792073
8,dis_TRINITY_DN10025_c0_g1,25.68377,41.438699,15.525159,15.329305,14.446971,16.616633,16.702526,5.683348,10.972044,17.137477,10.22471,8.409882
6,dis_TRINITY_DN1003_c0_g1,33.069138,30.356592,23.391465,29.311758,32.0413555,22.077366,80.851432,13.492853,38.817693,45.932451,19.285731,27.661378
8,dis_TRINITY_DN10031_c0_g2,23.145468,31.620339,24.534065,26.286465,27.70641,12.472278,46.299953,17.730614,8.76639,19.942744,17.091454,20.705677
1,dis_TRINITY_DN10032_c0_g1,1312.520271,1271.278195,3662.6318085,2649.58881,2893.231793,4159.670008,1308.846626,303.43529,2754.018688,3296.667927,3839.167053,2962.947694
8,dis_TRINITY_DN100378_c0_g1,6.298345,5.970761,11.396151,8.915027,3.8426285,7.965621,10.828078,25.094502,10.386337,10.655578,9.953794,4.78451
8,dis_TRINITY_DN10039_c0_g1,17.116297,19.600484,6.5911015,8.758306,4.891876,3.454635,11.310819,2.165852,10.761699,8.209549,6.008742,5.225211
2,dis_TRINITY_DN1004_c0_g1,47.115183,55.178791,42.7155025,43.558887,30.8930685,30.633835,31.921739,2.532103,48.570729,31.008022,35.508268,19.559757
2,dis_TRINITY_DN1004_c0_g2,56.748552,82.780434,66.759293,75.220492,65.6107945,63.147445,27.972747,5.650332,63.682534,45.653014,68.15884,48.49475
8,dis_TRINITY_DN10041_c0_g1,62.856965,75.411023,44.6846635,39.77973,38.5584005,35.445345,33.141213,13.543687,4.602212,33.067312,7.279432,24.040272
1,dis_TRINITY_DN10045_c0_g1,89.566596,223.902561,116.986894,78.73502,31.574689,44.52498,81.522672,815.569046,3.934406,52.154014,2.506548,0.881555
1,dis_TRINITY_DN10051_c0_g1,330.077213,276.053789,276.13967049999997,329.731498,330.6703195,324.261454,343.831347,111.006158,147.642235,244.333543,188.33538,399.366745
8,dis_TRINITY_DN10055_c0_g1,5.150549,6.537593,2.9949925000000004,1.214156,1.2519435,1.620736,1.179886,2.750306,1.235808,1.146064,0.786224,0.451016
3,dis_TRINITY_DN10059_c0_g1,52.062763,58.860422,100.2604055,47.350237,32.4862715,52.407425,108.518427,24.016126,52.482265,41.870032,30.751039,18.408873
7,dis_TRINITY_DN10059_c0_g2,93.21691,97.941302,103.6829525,44.537416,30.3768475,17.485833,134.448985,8.230511,2.885678,20.59645,4.969483,25.174975
8,dis_TRINITY_DN10066_c0_g1,5.753171,5.004199,2.488375,1.653337,0.9519475,0.871787,3.024586,1.559798,2.59197,3.503564,1.025901,1.236167
1,dis_TRINITY_DN10067_c0_g2,8.171159,16.077172,272.3691695,64.717811,43.0651335,187.539514,3.354746,6.051555,74.816399,128.381554,136.877757,330.086046
7,dis_TRINITY_DN10084_c0_g1,30.067009,19.443529,54.609469,27.14269,23.0793375,19.108264,37.350322,10.191601,23.55766,17.872761,16.298243,6.804114
1,dis_TRINITY_DN10087_c0_g1,0.366807,0.446692,0,0,0,0,0,876.941193,0,26.23256,0,0
1,dis_TRINITY_DN100876_c0_g1,22.606949,17.106652,20.212207,16.883644,22.5269045,13.135385,18.785384,6.700671,18.455413,19.574201,10.758506,8.733889
8,dis_TRINITY_DN10089_c0_g1,16.487709,14.79987,26.935285,20.967901,15.1324,19.735414,38.387865,5.166604,23.938012,25.961155,19.792641,12.94487
2,dis_TRINITY_DN101_c0_g1,54.921192,92.892097,36.668357,27.417205,30.4914585,36.219227,18.03231,12.175084,23.337897,14.167176,17.865039,6.294167
8,dis_TRINITY_DN10119_c0_g1,52.390686,37.415936,40.8682,40.681426,36.0133935,28.469492,38.232694,6.258262,24.275972,36.28673,28.373971,22.249588
